id,w2_brokeup,w1_age,w1_p_page,w1_attraction,w1_q21a_year,w1_p_edu,w1_p_polparty,w1_same_hs,w1_same_college,w1_partnership_status_cohab,w1_rel_qual,w1_sex_frequency,w1_otherdate_all,w1_same_sex_couple_gender,w1_married,w1_cohab,w1_hh_income,w1_employed,w1_polparty,w1_relig_attend,w1_times_marrid,w1_p_race,w1_how_met,w1_earned_more,w1_p_gender,w1_gender,w1_q24_met_through_family,w1_q24_met_through_friend,w1_q24_met_through_as_nghbrs,w2_nonshelter,w2_shelter_combo_months,w2_myhealth,w2_myhealth_why_1,w2_parthealth,w2_parthealth_why_1,w1_yrsed,w1_p_yrsed
198,0,78,75,1,1964,9,3,2,NA,1,1,5,1,0,1,1,8,2,3,5,1,6,1,1,2,1,0,0,0,NA,4,2,NA,2,NA,12,12
199,0,54,49,1,1986,11,1,2,1,1,1,-1,1,0,1,1,21,1,1,-1,NA,1,1,3,2,1,0,0,0,1,0,2,NA,2,NA,14,14
200,0,69,69,1,1963,12,4,2,NA,4,NA,NA,1,0,0,NA,16,5,2,2,1,3,1,3,1,2,1,1,1,NA,6,2,NA,NA,NA,12,16
201,0,61,64,2,2004,12,4,2,2,1,1,4,1,0,1,1,20,1,7,2,2,4,3,2,1,2,1,0,0,1,0,2,NA,2,NA,17,16
202,0,61,60,1,1980,12,5,2,2,1,2,3,1,0,1,1,19,1,7,3,1,23,1,1,2,1,0,0,0,NA,0.75,2,NA,2,NA,17,16
203,0,53,55,1,1988,8,5,2,NA,1,2,5,1,0,1,1,6,5,5,4,NA,0,1,3,1,2,0,0,0,NA,2,2,NA,2,NA,11,12
204,0,58,52,1,1981,11,5,2,2,1,2,5,1,0,1,1,17,1,5,4,1,5,1,1,2,1,0,0,0,NA,3,2,NA,2,NA,13,14
205,0,65,67,1,1969,12,7,2,2,1,2,5,1,0,1,1,13,5,7,4,1,6,1,4,1,2,0,1,0,NA,3,2,NA,2,NA,16,16
206,0,38,39,1,1991,12,4,1,2,1,1,4,1,0,1,1,19,1,6,2,1,0,1,3,1,2,0,1,0,NA,6,2,NA,2,NA,16,16
207,0,55,54,1,1983,11,6,2,2,1,1,4,1,0,1,1,20,1,6,2,1,0,1,1,2,1,0,0,0,1,0,2,NA,2,NA,16,14
208,0,28,33,3,2006,9,4,2,NA,1,2,2,1,0,1,1,4,1,5,6,2,10,1,1,1,2,1,1,0,NA,0.25,2,NA,2,NA,13,12
209,0,52,54,1,1982,4,4,2,NA,4,NA,NA,2,0,0,NA,5,1,1,2,1,0,1,1,1,2,1,1,0,NA,0.75,2,NA,NA,NA,12,7.5
210,0,82,91,1,1968,8,1,2,NA,1,1,5,1,0,1,1,12,5,1,2,2,0,1,4,1,2,0,0,1,NA,3,2,NA,2,NA,12,12
211,0,72,71,1,1967,13,3,2,1,1,1,3,1,0,1,1,13,5,5,5,1,0,1,3,2,1,1,0,0,NA,0.75,2,NA,2,NA,13,17
212,0,52,57,1,1985,9,3,-1,NA,1,2,5,1,0,1,1,12,2,4,6,1,2,1,2,1,2,0,0,0,1,0,2,NA,2,NA,12,12
213,0,40,37,2,1999,14,4,2,2,1,1,3,1,0,1,1,16,1,7,6,1,0,1,1,2,1,0,1,1,NA,6,2,NA,2,NA,20,20
214,0,71,75,1,1966,9,1,2,NA,1,2,5,1,0,1,1,12,5,2,5,1,1,1,4,1,2,0,0,0,3,0,2,NA,2,NA,12,12
215,0,60,62,1,1985,13,7,2,2,1,1,5,1,0,1,1,17,1,7,2,1,2,1,1,2,1,0,1,0,NA,0.75,2,NA,2,NA,17,17
216,0,55,58,1,1989,9,4,2,NA,1,1,5,1,0,1,1,9,6,6,6,3,0,1,4,1,2,0,0,0,NA,5,2,NA,2,NA,12,12
217,0,81,73,1,1993,8,7,2,NA,1,2,5,1,0,1,1,18,5,6,2,2,1,1,1,2,1,0,0,0,NA,6,2,NA,2,NA,17,12
218,0,69,70,1,1965,3,7,2,NA,1,3,5,1,0,1,1,8,5,6,2,1,2,1,3,1,2,1,0,0,NA,7,2,NA,2,NA,12,5.5
219,0,58,63,1,1991,13,7,2,2,1,2,5,1,0,1,1,19,1,5,2,1,3,1,1,1,2,0,0,0,NA,3,2,NA,2,NA,17,17
220,0,45,45,1,1987,8,3,1,NA,1,1,4,1,0,1,1,15,1,1,4,1,9,1,3,1,2,0,0,0,1,0,2,NA,1,0,12,12
221,0,70,59,2,1984,12,1,2,2,1,1,5,1,0,1,1,14,1,3,2,4,0,1,3,1,2,0,0,0,1,0,2,NA,2,NA,13,16
222,0,78,74,1,1961,9,5,2,NA,1,1,5,1,0,1,1,11,5,5,2,1,0,1,1,2,1,1,1,0,3,0,2,NA,2,NA,14,12
223,0,78,78,1,1959,10,4,2,1,1,1,5,1,0,1,1,16,5,5,2,1,0,1,1,2,1,0,1,0,NA,2,2,NA,2,NA,17,13
224,0,59,69,1,1991,8,4,2,NA,4,NA,NA,1,0,0,NA,9,5,5,1,1,3,1,1,1,2,0,0,0,NA,7,2,NA,2,NA,12,12
225,0,78,68,1,1992,10,6,2,NA,1,2,5,1,0,1,1,12,5,6,-1,2,0,1,1,2,1,0,0,0,NA,6,2,NA,2,NA,12,13
226,0,54,55,1,1989,12,5,2,1,1,1,4,1,0,1,1,16,1,4,6,1,8,1,1,2,1,0,0,0,NA,7,2,NA,2,NA,17,16
227,0,75,76,1,1964,10,1,2,2,1,1,5,1,0,1,1,20,5,3,2,1,0,1,1,1,2,0,0,0,2,0,2,NA,1,0,16,13
228,0,53,51,1,1993,10,4,2,2,1,1,3,1,0,1,1,14,1,4,6,1,0,1,1,2,1,0,0,0,2,0,2,NA,2,NA,16,13
229,0,73,73,1,1968,11,4,2,NA,1,1,4,1,0,1,1,17,5,7,4,1,0,1,1,1,2,0,0,0,NA,7,2,NA,2,NA,12,14
230,0,75,84,1,1959,12,2,2,NA,1,1,5,1,0,1,1,11,5,2,6,1,3,1,4,1,2,0,0,0,2,0,2,NA,2,NA,12,16
231,0,54,58,1,2005,10,5,2,NA,3,1,5,1,0,0,2,11,1,3,6,2,2,1,3,1,2,0,1,0,NA,7,2,NA,2,NA,12,13
232,0,65,62,1,1972,13,5,2,2,1,1,4,1,0,1,1,16,2,5,3,1,6,1,3,2,1,0,1,0,NA,0.75,2,NA,2,NA,13,17
233,0,29,30,1,2006,13,6,2,1,2,1,2,1,0,0,1,13,1,6,5,0,4,1,3,1,2,0,0,0,NA,0.75,2,NA,2,NA,14,17
234,0,66,72,1,1982,10,4,2,NA,1,1,3,1,0,1,1,15,1,6,4,2,1,1,4,1,2,0,0,0,NA,0.75,2,NA,2,NA,12,13
235,0,76,80,1,1959,9,7,2,NA,4,NA,NA,1,0,0,NA,4,5,1,2,1,50,1,3,1,2,1,1,0,3,0,2,NA,NA,NA,13,12
236,0,69,68,1,1967,14,7,2,2,1,1,3,1,0,1,1,21,1,7,2,1,2,1,3,1,2,0,0,1,NA,7,1,0,2,NA,17,20
237,0,92,85,1,2009,10,3,2,2,3,2,5,1,0,0,2,18,7,1,1,1,1,1,1,2,1,0,1,0,2,0,2,NA,2,NA,17,13
238,0,58,61,1,2008,12,7,2,2,2,1,3,1,0,0,1,16,1,7,6,1,0,3,3,1,2,0,0,0,NA,5,2,NA,1,0,16,16
239,0,56,60,1,1977,10,4,2,2,1,1,5,1,0,1,1,20,1,2,1,1,4,1,3,1,2,0,1,0,1,0,2,NA,2,NA,13,13
240,0,60,74,1,1977,13,1,2,1,1,1,3,1,0,1,1,20,5,1,6,1,0,1,3,1,2,0,1,0,2,0,2,NA,2,NA,13,17
241,0,69,69,1,1961,13,1,1,1,1,1,4,1,0,1,1,20,5,2,2,1,5,1,3,1,2,1,1,0,2,0,2,NA,2,NA,16,17
242,0,25,24,1,2013,10,4,2,2,4,NA,NA,1,0,0,NA,13,1,5,3,0,5,3,1,1,2,0,0,0,NA,0.25,2,NA,2,NA,16,13
243,0,56,51,1,1997,10,5,2,2,1,1,3,1,0,1,1,19,1,2,5,2,2,1,1,2,1,1,0,0,NA,6,2,NA,2,NA,13,13
244,0,76,80,1,1963,12,2,2,2,1,2,5,1,0,1,1,16,5,2,2,1,4,1,4,1,2,0,0,0,NA,0.75,1,0,2,NA,14,16
245,1,47,40,1,2015,12,3,2,2,3,2,5,1,0,0,2,9,1,2,4,1,4,3,2,1,2,0,0,0,NA,0.75,2,NA,2,NA,14,16
246,0,40,45,1,2012,9,5,2,NA,2,1,3,1,0,0,1,12,1,5,5,1,0,1,1,2,1,0,0,0,NA,5,2,NA,2,NA,16,12
247,0,56,59,1,1983,9,5,2,NA,1,2,5,1,0,1,1,15,1,3,6,1,12,1,1,2,1,0,0,0,3,0,2,NA,1,0,12,12
